장르,순위,제목,저자,출판사,가격,써머리,추천사,이 책을 좋아해야 할 이유
소설,14,세종의 나라 2 (양장),김진명,이타북스,19800,"1권 후속. 한글 창제의 완성.","1권을 읽었다면 멈출 수 없다.","1권에서 시작된 한글 창제의 여정이 완성에 이른다. 반대 세력의 저항과 세종의 신념이 충돌하는 클라이맥스가 압권이다. 한글이라는 위대한 발명이 어떤 희생과 결단 위에 세워졌는지를 생생하게 보여준다. 2권까지 읽으면 한글에 대한 자부심이 달라진다."
소설,15,쥬디 할머니,박완서,문학동네,16650,"한국 문학 거장 박완서의 소설.","노년과 가족을 다루는 따뜻하고 날카로운 시선.","한국 문학의 거장 박완서가 노년의 삶을 다룬다. 따뜻하면서도 날카로운 시선으로 가족 관계의 본질을 파고든다. 세대를 초월하는 공감력이 이 작가의 힘이다. 부모님 세대를 이해하고 싶다면, 혹은 미래의 내 모습을 미리 보고 싶다면 이 소설이 가이드가 될 것이다."
소설,16,나의 완벽한 장례식,조현선,북로망스,17100,"병원 매점에 찾아오는 죽은 영혼들.","죽음을 다루되 따뜻한 판타지.","새벽 병원 매점에 그림자 없는 손님들이 찾아온다. 스무 살 나희는 죽었지만 떠나지 못한 영혼들의 마지막 부탁을 들어주게 된다. 죽음을 다루면서도 슬프지 않고 오히려 따뜻하다. 영혼들이 남기고 간 미완의 이야기는 살아있는 우리가 지금 해야 할 것들을 떠올리게 만든다. 미스터리한 분위기 속에서도 인간적 온기를 잃지 않는 문장이 독자를 서사 안으로 끌어들인다."
소설,17,브람스를 좋아하세요...,프랑수아즈 사강,민음사,9000,"프랑스 문학의 고전. 사랑과 음악.","사랑의 아름다움과 허무함을 동시에.","프랑수아즈 사강의 이 짧은 소설은 사랑과 음악이 교차하는 파리의 밤을 그린다. 제목만으로도 매력적인 이 작품은 사랑의 아름다움과 허무함을 동시에 담아낸다. 민음사 세계문학전집의 스테디셀러로 9000원에 프랑스 문학의 정수를 만날 수 있다. 클래식 음악을 좋아한다면 배로 즐길 수 있는 소설."
소설,18,단종애사,이광수,새움,15930,"이광수의 역사소설 복간.","한국 근대문학의 유산을 다시 만나다.","한국 근대문학의 선구자 이광수가 그린 단종의 비극적 이야기. 어린 왕의 운명과 충신들의 비애를 담은 역사소설의 고전이다. 새움 출판사의 복간으로 현대 독자가 다시 만날 수 있게 되었다. 역사와 문학을 동시에 즐기고 싶은 독자에게 추천."
소설,19,소년이 온다,한강,창비,13500,"5.18 광주를 다룬 한강의 대표작.","노벨문학상 수상 작가의 힘.","2016년 인터내셔널 부커상에 이어 2024년 노벨문학상까지 수상한 한강의 대표작. 1980년 5월 광주를 배경으로 열다섯 살 소년의 죽음과 살아남은 자들의 고통을 다룬다. 역사적 비극을 문학적으로 승화시킨 걸작. 한국인이라면 반드시 읽어야 할 소설이며, 한강 문학의 정수를 경험할 수 있다."
소설,20,시간관리국,캘리앤 브래들리,비채,17820,"시간 관리 비밀 기관 배경 로맨스 판타지.","시간+사랑의 매력적 조합.","시간을 관리하는 비밀 기관이 있다면? 시간관리국이라는 매력적인 설정 위에 펼쳐지는 로맨스 판타지. 가볍게 읽기 좋으면서도 시간의 의미를 생각하게 만드는 이중적 매력이 있다. 되돌리고 싶은 순간, 멈추고 싶은 순간이라는 보편적 욕망을 판타지로 풀어낸다. 무거운 소설에 지쳤을 때 달콤한 탈출구."
경제경영,1,인생 마지막에 쓰는 주식투자 교과서,정규준,애덤스미스,22500,"15년차 전업투자자의 주식 투자 원칙.","체계적 투자의 교과서.","15년간 주식만으로 살아온 전업투자자의 집대성. 초보부터 중급까지 단계별로 투자 원칙을 쌓아가는 구조가 탄탄하다. 뉴스에 흔들리지 않는 원칙 투자, 감정이 아닌 시스템으로 하는 매매를 배울 수 있다. 인생 마지막이라는 제목은 이 한 권이면 다른 투자서가 필요 없다는 자신감이다. 주식 앱만 깔아놓고 뭘 해야 할지 모르겠다면 이 책이 첫 번째이자 마지막 교과서."
경제경영,2,박곰희 연금 부자 수업,박곰희,인플루엔셜,18900,"4개 절세 통장으로 월 300만원.","연금 준비의 모든 것.","95만 유튜버이자 전직 PB 박곰희가 4개 절세 통장으로 월 300만원 만드는 로드맵을 구체적으로 제시한다. 4% 룰로 30년 이상 현금흐름을 유지하는 법, 투자 여력별 포트폴리오, 세금 최적화까지. 이 책이 다른 재테크서와 다른 점은 진짜 따라할 수 있다는 것이다. 3억으로 노후가 가능한지, 55세에 시작해도 늦지 않은지 같은 절실한 질문에 현실적으로 답한다. 시간이라는 가장 강력한 무기를 가진 젊은 세대일수록 빨리 읽어야 한다."
경제경영,3,진보를 위한 주식투자,이광수,21세기북스,19800,"가치관과 투자의 양립.","돈을 벌면서도 세상을 바꾸는 방법.","투자하면서 양심의 가책을 느낀 적 있는가? 환경을 파괴하는 기업에 투자하는 건 아닌지, 내 수익이 누군가의 손해인 건 아닌지. 이 책은 진보적 가치관과 투자가 양립할 수 있다고 말한다. ESG 투자와 사회적 책임 투자라는 새로운 관점으로 돈을 벌면서도 세상을 좋은 방향으로 움직이는 방법을 제시한다. 수익만큼 가치를 중시하는 독자를 위한 투자 가이드."
경제경영,4,코스피 1만 넥스트 레벨,박시동,지와인,19800,"코스피 1만 시대 투자 전략서.","설명 천재의 실전 투자법.","코스피가 6000을 넘었고 1만 시대가 눈앞이다. 설명 천재라 불리는 박시동 소장이 종목 선택의 원칙, 매매 타이밍, 포트폴리오 관리까지 투자의 전 과정을 원칙 중심으로 안내한다. 어려운 경제 개념을 생활 언어로 풀어내는 능력이 탁월하다. 투자를 처음 시작하는 사람도 이해할 수 있는 언어로 쓰여 있어 첫 번째 투자 교과서로 적합하다."
경제경영,5,돈의 방정식,모건 하우절,서삼독,25200,"부=가진 것-원하는 것.","돈에 대한 관점을 완전히 바꿔주는 책.","돈의 심리학이 돈을 모으는 마음을 다뤘다면 후속작은 돈을 쓰는 지혜를 다룬다. 부=가진 것-원하는 것이라는 공식은 단순하지만 강력하다. 더 많이 가진 게 아니라 덜 원하는 게 부라는 역발상. 순간적 행복이 아닌 지속적 만족을 추구하라는 메시지가 핵심이다. 명품백과 해외여행이 잠깐의 행복을 주지만 지속되지 않는 이유를 이 책이 설명해준다. 돈을 도구로 쓸 줄 아는 어른이 되고 싶다면."
경제경영,6,일본 광고 카피 도감,오하림,서교책방,16920,"일본 명작 광고 카피 모음.","마케터/기획자의 영감 레퍼런스.","일본의 명작 광고 카피를 큐레이션한 책. 짧은 한 문장이 어떻게 사람의 마음을 움직이는지를 보여준다. 광고 카피는 세상에서 가장 짧은 문학이라는 말이 있다. 마케터, 카피라이터, 기획자뿐 아니라 글을 쓰는 모든 사람에게 영감을 준다. 한 문장의 힘을 믿는 사람이라면 이 도감을 곁에 두고 틈틈이 펼쳐보라."
경제경영,7,자본주의 시대 최소한의 경제 공부,백억남,하이스트,25200,"경제 기초 입문서.","경제 뉴스가 외국어처럼 들린다면 여기서 시작.","금리, 환율, GDP, 인플레이션. 알 것 같으면서도 설명하라면 못 하는 개념들. 백억남이 자본주의의 작동 원리를 쉽게 풀어준다. 금리가 오르면 왜 집값이 변하는지, 내 월급은 왜 물가를 따라가지 못하는지. 돈의 흐름을 읽는 눈이 생기면 세상이 다르게 보인다. 경제 문맹이 곧 자산 문맹이 되는 시대에 기초부터 다지기에 최적."
경제경영,8,박태웅의 AI 강의 2026,박태웅,한빛비즈,20700,"AI 시대 비즈니스 트렌드.","AI를 두려움에서 기회로 바꾸는 시각.","AI가 내 일자리를 대체할까? 막연한 불안 대신 이 책을 읽는 게 낫다. 에이전틱 AI, 피지컬 AI 등 2026 최신 트렌드를 비즈니스 관점에서 해설한다. 기술 자체보다 기술이 만드는 변화에 초점을 맞춘다. AI 시대에 살아남는 건 코딩을 아는 사람이 아니라 변화를 읽는 사람이다. AI를 두려움의 대상이 아닌 기회의 도구로 바꾸는 시각을 제공한다."
경제경영,9,캔들차트 하나로 끝내는 추세추종 투자,성승현,포르체,22500,"캔들차트 분석 실전 매매 기법.","차트 분석 입문자를 위한 실전서.","주식 차트를 보면 복잡한 선과 숫자에 압도당한다. 이 책은 캔들차트 하나만으로 추세를 읽고 매매하는 실전 기법을 알려준다. 수십 가지 보조지표 대신 캔들 하나에 집중하는 미니멀한 접근이 매력이다. 차트 분석을 처음 시작하는 사람에게 진입 장벽을 낮춰주는 입문서."
경제경영,10,미국은 왜 전쟁을 멈추지 못하는가,"윌리엄 D. 하텅, 벤 프리먼",부키,22500,"군산복합체와 전쟁 경제 분석.","국제 정세를 이해하는 경제-정치 교양서.","미국의 국방 예산은 왜 줄지 않을까? 전쟁은 끝나도 군수산업은 계속된다. 이 책은 군산복합체라는 거대한 시스템이 어떻게 전쟁 경제를 유지하는지 구조적으로 분석한다. 국제 정세가 투자와 경제에 미치는 영향을 이해하고 싶다면 이 책이 좋은 출발점이다. 뉴스 너머의 구조를 읽는 눈을 길러준다."
경제경영,11,이게 되네? 제미나이 완전 미친 활용법 81제,오힘찬,골든래빗,21600,"구글 제미나이 AI 실무 활용 81가지.","AI를 실무에 바로 써먹는 실전 가이드.","ChatGPT는 써봤는데 제미나이는 뭐가 다른지 모르겠다면 이 책이 답이다. 구글 제미나이를 업무에 바로 적용하는 81가지 활용법을 구체적으로 안내한다. 이메일 작성, 보고서 요약, 데이터 분석, 콘텐츠 제작까지. AI를 이론이 아닌 실전에서 써먹고 싶은 직장인에게 최적의 가이드."
경제경영,12,돈의 심리학 (50만부 기념 에디션),모건 하우절,인플루엔셜,22320,"돈에 대한 18가지 심리 이야기.","50만부에는 이유가 있다.","부자가 되는 건 얼마를 버느냐가 아니라 어떻게 행동하느냐의 문제다. 모건 하우절의 이 한 문장이 이 책의 전부다. 18가지 이야기를 통해 돈에 대한 인간의 비합리적 행동을 조명한다. 50만부가 팔린 건 누구나 공감하는 돈과 심리의 관계를 명쾌하게 풀어냈기 때문이다. 돈의 방정식과 함께 읽으면 돈에 대한 관점이 완성된다."
경제경영,13,규칙파괴자,데이비드 가드너,국일증권경제연구소,22500,"혁신적 투자 철학.","틀에 박힌 투자 규칙을 깨는 새로운 관점.","모든 투자서가 분산 투자, 안전 마진, 저PER을 말할 때, 이 책은 그 규칙을 깨라고 말한다. 성장주에 집중하고 확신이 있을 때 과감하게 베팅하라. 규칙을 따르는 투자가 안전하지만, 규칙을 깨는 투자가 부를 만든다. 물론 아무 규칙이나 깨라는 게 아니다. 어떤 규칙을 왜 깨야 하는지를 논리적으로 설명한다."
경제경영,14,왜 일하는가,이나모리 가즈오,다산북스,16200,"교세라 창업자의 일 철학.","삼성 10년 이상 신입사원 필독서.","일을 성공의 수단이 아닌 인격을 단련하는 수행의 과정으로 보는 철학. 교세라와 KDDI를 창업하고 JAL을 회생시킨 이나모리 가즈오의 일에 대한 사유는 깊고 단단하다. 삼성그룹이 10년 이상 신입사원 필독서로 추천하는 데는 이유가 있다. 일의 의미를 잃었을 때, 왜 이 일을 하는지 모르겠을 때 다시 펼쳐야 할 책."
경제경영,15,나의 첫 월배당 ETF,김정란,토네이도,19800,"ETF 입문~포트폴리오 구성.","적은 돈으로 시작하는 월배당의 첫걸음.","주식은 무섭고 예금은 답답하다면 그 사이에 ETF가 있다. 월배당 ETF는 매달 배당금이 나온다. 어떤 ETF를 골라야 하는지, 어떻게 포트폴리오를 구성하는지를 초보자 눈높이에서 안내한다. 적은 돈으로 시작해서 매달 배당금 받는 구조를 경험하면 돈이 돈을 버는 시스템을 체감하게 된다."
경제경영,16,경매 100계명 제2부,박홍기,바른북스,21600,"부동산 경매 실전 가이드.","경매 투자의 바이블 후속편.","부동산 경매에 관심은 있지만 어디서부터 시작해야 할지 모르겠다면. 100가지 계명으로 정리한 경매 실전 가이드. 1부의 성공에 이어 더 깊은 실전 노하우를 담았다. 법적 리스크, 입찰 전략, 명도 과정까지 경매의 전 과정을 현장 경험으로 풀어낸다."
경제경영,17,"1,000만원으로 3년안에 300만원 월배당 만들기",인생업(임승현),경이로움,20700,"소액 월배당 포트폴리오 구축.","구체적 종목과 비율까지 안내하는 실전형.","월급 외 현금흐름을 만들고 싶다면 가장 현실적인 가이드. 1000만원으로 바로 월 300만원이 나오는 건 아니지만, 복리와 시간의 마법을 구체적 포트폴리오로 보여준다. 어떤 종목에 어떤 비율로 언제 사야 하는지까지 알려주는 실행서."
경제경영,18,AI 제국: 권력 자본 노동,카렌 하오,생각의힘,25200,"AI가 만드는 새로운 권력 구조.","AI 시대의 정치경제학.","AI는 기술만의 문제가 아니다. 권력, 자본, 노동의 구조를 근본적으로 바꾸고 있다. MIT 테크놀로지 리뷰의 카렌 하오가 AI 기업들이 어떻게 새로운 제국을 건설하고 있는지 분석한다. AI를 기술이 아닌 권력의 관점에서 이해하고 싶다면 이 책이 필수다."
경제경영,19,주식투자 무작정 따라하기,윤재수,길벗,22500,"주식 초보자 단계별 실전서.","계좌 개설부터 매매까지 무작정 따라하기.","주식 투자를 한 번도 해본 적 없는 완전 초보를 위한 책. 계좌 개설부터 종목 선택, 매수와 매도 타이밍까지 단계별로 따라할 수 있게 구성했다. 무작정 따라하기 시리즈의 장점은 선행 지식을 요구하지 않는다는 것. 투자의 첫 발을 떼는 데 이보다 친절한 가이드는 없다."
경제경영,20,F1 더 포뮬러,"조슈아 로빈슨, 조너선 클레그",RHK,19800,"F1 레이싱의 비즈니스 혁신.","스포츠 산업의 비즈니스 케이스 스터디.","넷플릭스 다큐 드라이브 투 서바이브로 F1에 빠진 사람이 늘었다. 이 책은 F1이 어떻게 낡은 스포츠에서 글로벌 엔터테인먼트 제국으로 변신했는지를 비즈니스 관점에서 분석한다. 리버티 미디어의 인수, 소셜 미디어 전략, 팬 경험 혁신까지. 스포츠를 넘어 모든 산업에 적용 가능한 비즈니스 혁신 케이스 스터디."
자기계발,1,완벽한 원시인,자청,필로틱,19800,"10만년 전 DNA에 맞춘 뇌 리셋 15개 버튼.","번아웃된 현대인에게 가장 필요한 처방전.","역행자 100만부의 자청이 4년 만에 돌아왔다. 이번엔 성공법이 아니라 작동법이다. 핵심 주장은 이것이다. 우리 뇌는 10만 년 전에 설계됐는데 환경만 급변했다. 그래서 현대인의 뇌가 오작동한다. 수면, 물, 호흡, 빛, 걷기, 영양, 운동 같은 기본값을 리셋하면 의지력 없이도 상태가 바뀐다. 15개 버튼을 생존, 항상성, 성장, 연결, 초월 5단계로 정렬했고 순서대로 누르면 뇌가 제 성능을 되찾는다. 번아웃, 우울, 무기력의 원인이 의지 부족이 아니라 상태 부족이라는 관점이 핵심이다."
자기계발,2,부처님 말씀대로 살아보니,토니 페르난도,윌마,17010,"정신과 의사의 불교 실천 체험기.","마음챙김을 현대 심리학과 접목한 실용서.","정신과 의사가 부처님 가르침을 실제 삶에 적용해봤다. 마음챙김과 명상을 현대 심리학과 접목한 이 책은 종교서가 아니라 실용서다. 불안과 스트레스에 시달리는 현대인에게 2500년 전의 가르침이 왜 여전히 유효한지를 과학적으로 설명한다. 명상을 시작하고 싶지만 어디서부터 해야 할지 모르겠다면 이 책이 좋은 출발점이다."
자기계발,3,무례한 세상에서 나를 지키는 법,발타사르 그라시안,논픽션,17820,"17세기 철학자의 처세술.","인간관계에서 자신을 지키는 날카로운 통찰.","쇼펜하우어와 니체가 인생의 스승으로 삼았던 17세기 스페인 철학자. 1892년 판본을 저본으로 삼은 이 책은 300가지가 넘는 인간관계의 통찰을 담고 있다. 무례한 상사, 경계를 모르는 동료, 에너지를 빼앗는 관계에서 자신을 지키는 법. 400년 전의 지혜가 오늘의 직장 생활에 그대로 적용된다는 게 놀랍다."
자기계발,4,캔들차트 하나로 끝내는 추세추종 투자,성승현,포르체,22500,"캔들차트 실전 매매 기법.","차트 하나로 투자하는 미니멀 접근.","복잡한 보조지표 대신 캔들차트 하나에 집중하는 미니멀한 투자법. 추세를 읽고 따라가는 체계적 매매 기법을 실전 사례와 함께 알려준다. 정보 과잉 시대에 핵심만 추려내는 접근이 매력적이다."
자기계발,5,이게 되네? 제미나이 완전 미친 활용법 81제,오힘찬,골든래빗,21600,"구글 제미나이 AI 활용 81가지.","AI를 실무에 즉시 적용하는 가이드.","구글 제미나이를 업무에 바로 적용하는 81가지 방법. 이메일 작성, 보고서 요약, 데이터 분석, 콘텐츠 제작, 번역까지. 이론이 아닌 실전에서 AI를 써먹고 싶은 직장인에게 최적. 각 활용법이 독립적이라 필요한 것만 골라 읽기 좋다."
자기계발,6,뇌는 어떻게 나를 조종하는가,크리스 나이바우어,클랩북스,16920,"좌뇌 해석자의 자아 환상.","자기 이해의 새로운 차원.","내가 내린 결정이 정말 내 결정이었을까? 좌뇌의 해석자가 끊임없이 이야기를 지어내고 있다는 사실을 알면, 불필요한 자기 비난과 불안에서 벗어날 수 있다. 자기 비난이 습관인 사람에게 특히 유용하다. 심리학보다 깊고 철학보다 실용적인 뇌과학 자기이해서."
자기계발,7,쓰는 만큼 내가 된다,리니,더퀘스트,16200,"글쓰기를 통한 자기 발견.","기록하는 사람은 결국 방향을 찾는다.","매일 기록하는 사람과 아닌 사람의 차이는 1년이 지나면 명확해진다. 이 책은 거창한 작가 되기가 아니라 나를 알아가는 글쓰기를 다룬다. 노션에 한 줄이든 일기장에 세 줄이든 쓰는 만큼 내가 선명해진다. 정보 과잉 시대에 자기 생각을 정리하는 능력이 곧 경쟁력이다."
자기계발,8,일하면서 바로 써먹는 아웃풋x성과 도감,가바사와 시온,현대지성,15750,"80가지 아웃풋 기술.","인풋보다 아웃풋이 중요한 시대.","책을 많이 읽고 강의를 많이 들어도 아웃풋이 없으면 성장하지 않는다. 말하기, 쓰기, 행동하기 등 80가지 아웃풋 기술을 도감 형식으로 정리했다. 인풋 중독에서 벗어나 실제 성과를 내고 싶은 사람에게. 한 번에 읽지 않고 필요할 때마다 펼쳐보는 레퍼런스북으로 활용하기 좋다."
자기계발,9,너를 기다릴 시간에 나를 사랑하기로 했다,질리언 투레키,부키,17550,"자기 사랑 에세이.","타인에게 쏟던 에너지를 자신에게.","타인의 연락을 기다리고 타인의 인정을 갈구하고 타인의 기대에 맞추느라 정작 자신을 돌보지 못한 적 있다면. 이 책은 그 에너지를 자신에게 돌리라고 말한다. 관계에서의 자존감 회복, 혼자서도 충분한 존재라는 확인. 연애든 직장이든 모든 관계의 기초는 자기 사랑이라는 메시지."
자기계발,10,마음을 읽는 감각,구범준,세상을바꾸는시간15분,17820,"공감 능력 향상법.","사람의 마음을 읽고 소통하는 감각.","사람의 마음을 읽는 건 초능력이 아니라 기술이다. 관계에서, 비즈니스에서, 리더십에서 공감 능력은 가장 강력한 무기다. 이 책은 마음을 읽는 감각을 키우는 구체적 방법을 제시한다. 상대의 진짜 의도를 파악하고, 적절한 타이밍에 적절한 말을 하는 기술. 소통이 어려운 모든 사람에게."
