category,rank,title,author,publisher,price,summary,hook,selected
리더십·팀장론,2,팀장 리더십 수업,김정현,천그루숲,16800,혼자만 일 잘하는 팀장이 가장 쓸모없다. 성과를 내는 팀장의 코칭·피드백·위임 기술을 국내 실무 사례로 풀어낸다.,플레이어에서 코치로의 전환이 팀장의 첫 번째 과제,
리더십·팀장론,3,요즘 팀장의 코칭 리더십,권순규,플랜비디자인,17000,MZ 팀원과 소통하는 요즘 팀장의 코칭 대화법. 지시 대신 질문으로 이끄는 리더십 전환을 실전 스크립트로 안내한다.,지시하는 사수에서 질문하는 사수로,
리더십·팀장론,4,성과 향상을 위한 코칭 리더십,존 휘트모어,김영사,18000,40개국 100만부 판매된 비즈니스 코칭의 바이블. GROW 모델로 팀원의 잠재력을 끌어내는 체계적 코칭 방법론을 정립했다.,답을 알려주지 말고 스스로 찾게 하라,
리더십·팀장론,5,거인의 리더십,신수정,앳워크,17000,"일의 격 저자가 제시하는 리더의 성장법. 시니어가 되어갈수록 실무가 아닌 방향 설정과 영향력이 핵심 역량이 되는 과정을 그린다.",실력에서 영향력으로 무게중심이 옮겨가는 순간,
리더십·팀장론,6,일의 격,신수정,앳워크,16000,프로페셔널의 일하는 방식과 태도. 시니어로 성장하는 과정에서 실무 능력 너머 필요한 일의 품격과 원칙을 정리한다.,일을 잘하는 것과 일을 잘하는 사람은 다르다,
리더십·팀장론,7,하이 아웃풋 매니지먼트,앤드루 그로브,청림출판,16000,인텔 CEO가 정리한 관리자의 핵심 원칙 — 관리자의 산출물은 팀의 산출물이다. 레버리지 높은 활동에 시간을 집중하는 기술을 다룬다.,관리자의 성과 = 팀의 성과. 그 외는 착각이다,
리더십·팀장론,8,요즘 팀장은 이렇게 일합니다,남충현,클라우드나인,16000,변화하는 조직 환경에서 팀장의 역할을 재정의. 수평적 조직에서 사수로서 권위가 아닌 신뢰로 이끄는 법을 다룬다.,직급이 아니라 신뢰가 리더십을 만든다,
리더십·팀장론,9,실행에 집중하라,래리 보시디 · 램 차란,21세기북스,17000,전략보다 실행이 중요하다는 명제를 GE·허니웰 사례로 증명. 사수가 방향을 잡은 뒤 실행까지 관통시키는 리더십 프레임워크를 제시한다.,전략은 모두가 안다. 실행하는 사람만 이긴다,
리더십·팀장론,10,다시 조직문화,김범석,클로버,17000,조직문화가 성과를 만드는 메커니즘을 분석. 팀장이 조직 문화의 설계자로서 방향을 세팅하는 실무적 접근법을 제시한다.,문화는 선언이 아니라 사수의 행동에서 시작된다,
리더십·팀장론,11,AI 시대의 팀장은 다르게 일합니다 ★REF,김현,중앙북스,17000,AI가 보고서·데이터 분석·코드 생성까지 해내는 시대에 팀장의 역할은 어떻게 달라져야 하는가. AI를 조용한 팀원으로 받아들이고 리더십의 기준을 재정의하며 현장에서 바로 쓸 수 있는 프롬프트까지 제공한다.,AI 부사수를 맞이한 팀장의 생존 매뉴얼,
AI 시대 일하는 법,1,"AI가 나보다 일을 잘할 때",김대식,동아시아,18000,AI 시대 인간만의 고유 가치는 무엇인가. 카이스트 교수가 AI가 대체할 수 없는 인간의 판단력·맥락·윤리를 짚고 생존 전략을 제시한다.,AI가 모든 걸 할 수 있을 때 당신은 무엇을 할 것인가,
AI 시대 일하는 법,2,"AI가 바꾸는 일터의 미래",김성준,포르체,17000,20년 조직 연구 + AI 트렌드를 결합해 생성형 AI와 에이전트 기술이 일터를 어떻게 바꾸는지 예측. 사수로서 AI 부사수를 활용하는 조직 전략을 담는다.,AI를 도구로 쓰는 조직 vs AI에 끌려다니는 조직,
AI 시대 일하는 법,3,"AI 2026 트렌드&활용백과",김덕진,스마트북스,19800,정보를 아는 것이 아니라 전략으로 전환하는 능력이 핵심이라는 관점. AI 트렌드를 비즈니스 의사결정에 연결하는 실무 가이드.,AI 트렌드를 읽는 사람 vs 판단에 쓰는 사람,
AI 시대 일하는 법,4,박태웅의 AI 강의 2026,박태웅,한빛비즈,18000,"AI 리터러시가 생존 조건이 된 시대의 필독서. CEO부터 직장인까지 AI를 이해하고 판단의 도구로 활용하는 관점을 제시한다.",AI를 모르면 판단이 불가능한 시대가 왔다,
AI 시대 일하는 법,5,"AI 시대, 문과생은 이렇게 일합니다",노구치 류지,더퀘스트,16000,기술을 몰라도 AI를 활용해 일하는 방법. 문과 출신 직장인이 AI 부사수에게 제대로 지시하고 결과물을 판단하는 실전 기술을 다룬다.,코딩 못해도 AI 사수는 될 수 있다,
AI 시대 일하는 법,6,"AI시대 나에게 필요한 능력은 뭘까?",노동형,어반전략컨설팅,17000,2026년 기술 환경에서 인간 노동 가치의 재편을 분석. 50가지 업무 자동화 프롬프트와 커리어 서바이벌 가이드를 부록으로 제공한다.,AI에게 시키는 능력보다 AI 결과를 검수하는 능력,
AI 시대 일하는 법,7,AI 리터러시,김용성,한빛미디어,19000,인공지능 필수 지식부터 완벽 활용까지. AI의 원리를 이해해야 AI 결과물의 한계를 판단할 수 있다는 관점에서 리터러시를 체계적으로 정리한다.,AI를 판단하려면 먼저 AI를 이해해야 한다,
AI 시대 일하는 법,8,"AI와 일자리",김창일,커뮤니케이션북스,16000,자동화와 신직무 창출·경력 전환·기업 전략·정책 대응을 10개 핵심 질문으로 짚는다. AI 도입 후 사수의 역할이 어떻게 변하는지 구조적으로 분석.,AI가 일자리를 뺏는 게 아니라 역할을 재편한다,
AI 시대 일하는 법,9,프롬프트 엔지니어링,제임스 피닉스 · 마이크 테일러,한빛미디어,24000,"AI에게 정확한 지시를 내리는 5가지 원칙 — 지시·형식·예시·평가·분할. 사수가 부사수(AI)에게 명확하게 방향을 잡아주는 기술과 직결된다.",AI에게 잘 시키는 것도 사수의 역량이다,
AI 시대 일하는 법,10,문제 해결,이윤구,더난출판,17000,복잡한 문제를 구조화하고 핵심을 추려내는 사고법. AI가 데이터를 정리해줘도 결국 문제를 정의하고 해결 방향을 잡는 건 사람의 몫임을 강조한다.,AI는 답을 내놓지만 문제를 정의하는 건 당신이다,
편집·큐레이션·본질,1,에센셜리즘,그렉 맥커운,알에이치코리아,16000,"더 적게 하지만 더 좋게. 유능한 사람이 잘못된 선택을 하는 이유를 분석하고 가장 큰 성과로 이어질 것만 선별하는 사고방식을 제시한다.",모든 것을 다 하려는 사람은 아무것도 해내지 못한다,
편집·큐레이션·본질,2,큐레이션,마이클 바스카,예문아카이브,16000,정보 과잉 시대에 과감히 덜어내고 새롭게 조합해 가치를 창출하는 큐레이션의 본질. AI가 쏟아내는 초안 더미에서 뼈대만 남기는 기술의 원리.,선택하지 않는 것이 최고의 선택이다,
편집·큐레이션·본질,3,딥 워크,칼 뉴포트,민음사,16000,산만한 세상에서 깊은 집중이 경쟁력이 되는 이유. AI가 잡무를 대신할수록 인간에게 남는 건 깊이 생각하고 판단하는 딥워크 역량이다.,피상적 일은 AI에게 맡기고 깊은 일에 집중하라,
편집·큐레이션·본질,4,원씽,게리 켈러 · 제이 파파산,비즈니스북스,14000,한 가지에 집중하면 나머지가 쉬워진다. 수십 개의 AI 초안 중 핵심 하나를 고르는 판단력의 근본 원리를 다룬다.,AI가 100개를 만들어줘도 결국 고르는 건 하나,
편집·큐레이션·본질,5,빼기의 기술,라이디 클로츠,알키,17000,문제 해결에서 더하기가 아닌 빼기의 힘. 왜 우리는 본능적으로 추가하려 하는지 과학으로 설명하고 덜어내기가 더 효과적인 경우를 증명한다.,AI는 계속 더하고 사수는 과감히 뺀다,
편집·큐레이션·본질,6,생각정리스킬,복주환,비즈니스맵,15000,명쾌하게 생각하고 정리하고 전달하는 방법. AI가 만든 산출물을 빠르게 구조화하고 핵심만 추려내는 실전 정리법을 제시한다.,정리되지 않은 생각은 판단이 아니라 혼란이다,
편집·큐레이션·본질,7,불렛저널,라이더 캐롤,한빛비즈,15800,정보를 필터링하고 우선순위를 정하는 아날로그 시스템. 디지털 과잉 시대에 무엇을 남기고 무엇을 버릴지 판단하는 습관을 만든다.,기록의 핵심은 쓰는 게 아니라 버리는 것이다,
편집·큐레이션·본질,8,프로페셔널의 조건,피터 드러커,청림출판,15000,지식근로자의 자기관리와 성과의 본질. 시간·강점·공헌에 집중하라는 드러커의 원칙은 AI 시대 사수에게 더욱 유효하다.,성과는 강점에서 나오고 강점은 집중에서 나온다,
편집·큐레이션·본질,9,적게 일하고 잘 사는 법,에린 그리피스,비즈니스맵,16000,생산성 강박에서 벗어나 정말 중요한 일에만 에너지를 쓰는 전략. 더 많이가 아니라 더 정확하게 일하는 것의 가치를 역설한다.,야근의 원인은 일이 많아서가 아니라 덜어내지 못해서,
편집·큐레이션·본질,10,단순한 것의 힘,잭 트라우트,을유문화사,14000,마케팅의 대가가 설파하는 단순함의 전략적 가치. 복잡한 정보를 단순하게 정리하는 것이야말로 사수의 핵심 역량임을 보여준다.,복잡함은 무능의 증거이고 단순함은 명료한 판단의 결과,
시니어 성장·커리어,1,통찰의 시간,신수정,앳워크,16000,30대 이후 커리어의 성장 곡선이 달라지는 이유. 실무자에서 방향을 설정하는 시니어로 전환하는 시점의 마인드셋 변화를 다룬다.,능력의 종류가 달라지는 시점을 인지하라,
시니어 성장·커리어,2,탁월함의 발견,김민기,쏭북스,16000,평범한 직장인이 탁월해지는 과정의 관찰 기록. 뛰어난 성과를 내는 사람들의 공통된 판단 패턴과 일하는 방식을 분석한다.,탁월함은 재능이 아니라 판단의 축적이다,
시니어 성장·커리어,3,드러커의 매니지먼트,피터 드러커,청림출판,23000,경영학의 아버지가 정리한 관리의 본질. 관리자는 실무가 아니라 방향·사람·성과를 관리하는 사람이라는 원칙을 확립했다.,관리의 시작은 부사수에게 일을 맡기는 것이다,
시니어 성장·커리어,4,피드백 이야기,더글러스 스톤 · 쉴라 힌,21세기북스,17000,피드백을 주고받는 기술의 모든 것. 사수로서 AI든 팀원이든 산출물에 정확한 피드백을 주는 것이 성과의 핵심임을 증명한다.,좋은 피드백은 판단의 결과를 전달하는 기술이다,
시니어 성장·커리어,5,하드씽,벤 호로위츠,한국경제신문,17000,정답이 없는 상황에서의 의사결정. 쉬운 결정은 부사수도 하지만 어려운 결정은 오직 사수만 할 수 있다는 경영의 현실을 담았다.,쉬운 답이 없을 때 결정하는 사람이 리더다,
시니어 성장·커리어,6,일을 잘한다는 것,야마구치 슈,크레마,15000,일 잘하는 사람의 조건이 경력 단계마다 달라지는 과정. 주니어의 실행력에서 시니어의 판단력으로 역량의 무게중심이 이동하는 궤적을 그린다.,5년 차의 일잘과 15년 차의 일잘은 완전히 다르다,
시니어 성장·커리어,7,린 스타트업,에릭 리스,인사이트,18000,최소 기능 제품(MVP)으로 빠르게 검증하는 방법론. AI가 대량 생산한 초안에서 최소한만 남기고 빠르게 실험하는 사수의 전략과 맞닿는다.,100% 완성 전에 70%로 판단하는 용기,
시니어 성장·커리어,8,그릿,앤절라 더크워스,비즈니스북스,16800,재능보다 꾸준함이 성과를 결정한다. 시니어가 될수록 지식이 아닌 끈기와 방향 감각이 핵심 역량이 되는 이유를 데이터로 증명한다.,재능이 아닌 방향에 대한 확신이 성과를 만든다,
시니어 성장·커리어,9,워라밸 세대가 만드는 성과,제이슨 프라이드 · 데이비드 하이네마이어 핸슨,알에이치코리아,16000,적게 일하고도 성과를 내는 조직의 비밀. 야근 문화가 아닌 판단의 정확도로 승부하는 시니어의 일하는 방식을 보여준다.,많이 일하는 게 아니라 정확하게 일하는 것이 경쟁력,
시니어 성장·커리어,10,리더의 질문법,마이클 마쿼트,흐름출판,16000,좋은 질문이 좋은 판단을 이끈다. 사수가 부사수(AI든 팀원이든)에게 올바른 질문을 던지는 것이 올바른 결과물의 시작임을 보여준다.,답이 아니라 질문이 방향을 결정한다,
