카테고리,순위,제목,저자,출판사,가격,써머리
종합,24,소설 보다: 봄 2026,김채원 외,문학과지성사,4950,"계간 소설 앤솔러지. 문학과지성사의 봄 신작 소설 모음"
종합,25,코스피 1만 넥스트 레벨,박시동,지와인,19800,"설명 천재 박시동 소장의 투자 전략서. 코스피 1만 시대 종목 선택~포트폴리오 관리까지 실전 투자법"
종합,26,나의 완벽한 장례식,조현선,북로망스,17100,"병원 야간 매점에 찾아오는 그림자 없는 손님들. 죽은 영혼의 미해결 부탁을 들어주며 성장하는 판타지. 온기 가득"
종합,27,돈의 방정식,모건 하우절,서삼독,25200,"돈의 심리학 후속. 부=가진 것-원하는 것. 돈을 지위가 아닌 도구로 다루는 21가지 이야기"
종합,28,살면서 한번은 벽돌책,장강명,글항아리,17550,"10년간 벽돌책 100권 감상록. 두꺼운 책이 주는 중단 없는 연속적 사유의 힘. 고전 입문 가이드"
종합,29,연금 부자 수업,박곰희,인플루엔셜,18900,"(17번과 동일)"
종합,30,정답은 있다,이정효,다산북스,16200,"수원 삼성 감독의 첫 에세이. 직설적 전술가의 리더십과 인생 철학"
소설,1,프로젝트 헤일메리 (영화 특별판),앤디 위어,RHK,19800,"기억 잃고 우주선에서 깨어난 과학교사의 지구 구하기. 외계 생명체 록키와의 우정. 30개국 1위. 평점 9.4"
소설,2,괴테는 모든 것을 말했다,스즈키 유이,리프,15300,"23세 아쿠타가와상 수상. 언어의 힘과 사랑의 본질 탐구. 7주 연속 1위"
소설,3,죽은 왕녀를 위한 파반느 (양장 특별판),박민규,위즈덤하우스,18000,"거대한 슬픔과 아름다움을 독특한 문체로 직조한 한국 소설의 기념비적 연작"
소설,4,마션 (스페셜 에디션),앤디 위어,RHK,17820,"화성에 홀로 남겨진 우주비행사의 과학적 생존기. 유머+과학의 완벽 조합"
소설,5,모순 (개정판),양귀자,쓰다,11700,"25세 여성의 결혼 선택과 모순투성이 인생. 1998년작 26년째 역주행 스테디셀러"
소설,6,아르테미스 (스페셜 에디션),앤디 위어,RHK,17820,"달 식민지 밀수업자의 범죄 스릴러. 달 생활의 과학적 디테일이 압권"
소설,7,싯다르타,헤르만 헤세,민음사,7200,"깨달음을 찾는 영적 여정의 고전. 100년 넘게 읽히는 인생 필독서"
소설,8,안녕이라 그랬어,김애란,문학동네,15120,"이별과 상실을 겪은 인물들의 일상. 섬세한 문장으로 슬픔을 위로하는 김애란 장편"
소설,9,혼모노,성해나,창비,16200,"진짜란 무엇인가를 묻는 단편집. 젊은작가상+이효석문학상 수상"
소설,10,자몽살구클럽,한로로,어센틱,10800,"자살을 생각하는 네 여중생의 20일 유예 프로젝트. 1시간 완독. 애잔한 청춘 소설"
소설,11,소설 보다: 봄 2026,김채원 외,문학과지성사,4950,"문학과지성사의 계간 소설 앤솔러지"
소설,12,세종의 나라 1 (양장),김진명,이타북스,19800,"김진명의 역사소설. 세종대왕 시대를 배경으로 한 대하 서사"
소설,13,세종의 나라 2 (양장),김진명,이타북스,19800,"1권 후속. 한글 창제를 둘러싼 정치적 갈등과 세종의 리더십"
소설,14,수영장에 토성이 떨어졌다고?,벤디 베르니치,두마리토끼책,15120,"기발한 상상력의 외국 소설"
소설,15,쥬디 할머니,박완서,문학동네,16650,"한국 문학 거장 박완서의 소설. 노년과 가족에 대한 따뜻하고 날카로운 시선"
소설,16,나의 완벽한 장례식,조현선,북로망스,17100,"병원 매점에 찾아오는 그림자 없는 손님들. 죽은 영혼의 부탁을 들어주며 성장하는 판타지"
소설,17,급류,정대건,민음사,12600,"민음사 신예 작가의 장편. 거센 흐름 속 인간 군상의 이야기"
소설,18,시간관리국,캘리앤 브래들리,비채,17820,"시간을 관리하는 비밀 기관을 배경으로 한 로맨스 판타지"
소설,19,약속의 세대,백온유,문학동네,16200,"문학동네 주목 신예 작가. 세대 간 약속과 연대를 그린 작품"
소설,20,카프네,아베 아키코,은행나무,16200,"일본 소설. 카페를 배경으로 한 잔잔한 일상 이야기"
소설,21,소년이 온다,한강,창비,,"5.18 광주 배경 한강 대표작. 노벨문학상 수상 효과로 스테디셀러 지속"
소설,22,채식주의자,한강,창비,,"고기를 거부하는 여성의 이야기. 인터내셔널 부커상 수상작. 폭력과 욕망의 은유"
소설,23,작별하지 않는다,한강,문학동네,,"제주 4.3을 다룬 한강 장편. 역사적 비극을 섬세하게 복원"
소설,24,가다 갔다 가버렸다,예니 에르펜베크,한길사,,"인터내셔널 부커상. 베를린 난민들과 은퇴 교수의 만남. 타자와의 공존"
소설,25,슬픔의 물리학,게오르기 고스포디노프,문학동네,,"인터내셔널 부커상. 과거 기억으로 회귀하는 사람들. 유머와 철학 공존"
소설,26,떠난 것은 돌아오지 않는다,줄리언 반스,다산북스,,"부커상 수상 작가 신작. 20개국 동시 출간. 상실과 기억의 섬세한 탐구"
소설,27,흰,한강,문학동네,,"흰 것들의 이미지로 엮은 시적 소설. 생과 사의 경계를 넘나드는 명상적 작품"
소설,28,바임 호텔 (하반기 예정),욘 포세,문학동네,,"2023 노벨문학상 수상자의 신작. 바임 3부작 두 번째"
소설,29,엠푸사 (12월 예정),올가 토카르추크,민음사,,"2018 노벨문학상 수상자의 SF 공포소설"
소설,30,약속의 세대,백온유,문학동네,16200,"(19번 참조)"
경제경영,1,연금 부자 수업,박곰희,인플루엔셜,18900,"95만 유튜버의 연금 실전서. 4개 절세 통장으로 월 300만원. 4% 룰로 평생 현금흐름. 투자 초보 OK"
경제경영,2,박태웅의 AI 강의 2026,박태웅,한빛비즈,20700,"AI 시대 비즈니스 필독서. 에이전틱 AI/피지컬 AI 등 2026 트렌드를 경영 관점에서 해설"
경제경영,3,코스피 1만 넥스트 레벨,박시동,지와인,19800,"코스피 1만 시대의 투자 전략. 종목 선택~포트폴리오 관리까지 원칙 있는 실전 투자법"
경제경영,4,돈의 방정식,모건 하우절,서삼독,25200,"돈의 심리학 후속. 부=가진 것-원하는 것. 돈을 지위가 아닌 도구로 다루는 21가지 이야기"
경제경영,5,인생 마지막에 쓰는 주식투자 교과서,정규준,애덤스미스,22500,"15년차 전업투자자의 주식 투자 원칙. 초보~중급 체계적 투자 교과서"
경제경영,6,캔들차트 하나로 끝내는 추세추종 투자,성승현,포르체,22500,"캔들차트 분석 하나로 추세를 따라가는 실전 매매 기법"
경제경영,7,일본 광고 카피 도감,오하림,서교책방,16920,"일본 명작 광고 카피 모음. 마케터/카피라이터/기획자를 위한 크리에이티브 레퍼런스"
경제경영,8,자본주의 시대 최소한의 경제 공부,백억남(김욱현),하이스트,25200,"경제 유튜버 백억남의 경제 기초 입문서. 자본주의 구조를 이해하고 돈의 흐름을 읽는 법"
경제경영,9,진보를 위한 주식투자,이광수,21세기북스,19800,"진보적 가치관과 투자를 양립시키는 새로운 시각. 사회적 책임 투자 실전 가이드"
경제경영,10,미국은 왜 전쟁을 멈추지 못하는가,"윌리엄 D. 하텅, 벤 프리먼",부키,22500,"미국 군산복합체와 전쟁 경제의 구조적 분석. 국제 정세를 이해하는 경제-정치 교양서"
경제경영,11,규칙파괴자,데이비드 가드너,국일증권경제연구소,22500,"틀에 박힌 투자 규칙을 깨는 혁신적 투자 철학. 성장주 투자의 새로운 관점"
경제경영,12,이게 되네? 제미나이 완전 미친 활용법 81제,오힘찬,골든래빗,21600,"구글 제미나이 AI 실무 활용 81가지. 업무 자동화/콘텐츠 제작 실전 가이드"
경제경영,13,돈의 심리학 (50만부 기념 에디션),모건 하우절,인플루엔셜,22320,"돈에 대한 18가지 심리 이야기. 부자가 되는 건 어떻게 행동하느냐의 문제. 50만부 돌파"
경제경영,14,"1,000만원으로 3년안에 300만원 월배당 만들기",인생업(임승현),경이로움,20700,"소액으로 시작하는 월배당 포트폴리오 구축법. 구체적 종목과 비율까지 안내"
경제경영,15,존리의 부자되기 습관,존 리,이든하우스,18000,"메리츠자산운용 대표의 투자 철학. 장기 투자/복리의 마법/돈에 대한 올바른 습관"
경제경영,16,F1 더 포뮬러,"조슈아 로빈슨, 조너선 클레그",RHK,19800,"F1 레이싱의 비즈니스 혁신 스토리. 스포츠 산업을 글로벌 엔터테인먼트로 바꾼 전략"
경제경영,17,"다시, 초격차",권오현,쌤앤파커스,19800,"삼성전자 전 회장의 경영 철학 후속편. 격변의 시대에 초격차를 유지하는 조직 전략"
경제경영,18,다녀왔습니다!,토스증권 리서치센터,비즈니스북스,18000,"토스증권 리서치팀이 직접 발로 뛴 기업 탐방기. 현장에서 발견한 투자 인사이트"
경제경영,19,나의 첫 월배당 ETF,김정란,토네이도,19800,"ETF 선택법~포트폴리오 구성까지 초보자 맞춤 월배당 가이드"
경제경영,20,왜 일하는가,이나모리 가즈오,다산북스,16200,"교세라 창업자의 일 철학. 일은 인격을 단련하는 수행. 삼성 10년 이상 신입사원 필독서"
경제경영,21,주식투자 무작정 따라하기,윤재수,길벗,22500,"주식 초보자를 위한 단계별 실전서. 계좌 개설부터 매매까지"
경제경영,22,내가 돈을 벌고 있다는 착각,commonD(꼬몽디),스틸당,17820,"월급을 받지만 실제로는 돈을 벌지 못하는 현대인의 재무 맹점"
경제경영,23,트렌드 코리아 2026,김난도 외,미래의창,,"서울대 소비트렌드 분석센터의 2026 소비 키워드 10가지. 5주 연속 1위"
경제경영,24,환율의 대전환,오건영,,,"부의 대이동 오건영의 거시경제 분석. 환율 변동이 자산에 미치는 영향과 대응 전략. 30대 남성 1위"
경제경영,25,달러 자산 1억으로 평생 월급 완성하라,채상욱(채부심),,,"경제 유튜버의 달러 자산 투자 전략. 해외 자산으로 안정적 현금흐름 만들기"
경제경영,26,대형주 추세추종 투자법칙,전황,,,"15년차 전업투자자의 대형주 매매 원칙. 추세를 따라가는 체계적 투자 시스템"
경제경영,27,돈 공부를 시작하고 인생의 불안이 사라졌다,할미언니,,,"경제 유튜버의 재테크 입문서. 돈 공부가 인생의 불안을 해소하는 과정"
경제경영,28,머니 트렌드 2026,,,,"2026 경제 흐름 예측서. 금리/부동산/주식/AI 산업 등 돈의 흐름을 읽는 가이드"
경제경영,29,"평범하지만 부자가 되고 싶어","김종봉, 제갈현열",,,"3F 모델(FIND/FORGE/FREE)로 평범한 사람도 부자 되는 로드맵. 14개 미션지 수록"
경제경영,30,부의 대이동,홍춘욱,,,"거시경제학자의 자산 이동 분석. 돈이 어디로 흘러가는지 읽는 통찰"
자기계발,1,완벽한 원시인,자청,필로틱,19800,"10만년 전 DNA에 맞춘 뇌 리셋법. 수면/호흡/걷기 등 15개 버튼을 5단계로 눌러 현대인의 뇌를 정상 작동시키는 설계도"
자기계발,2,부처님 말씀대로 살아보니,토니 페르난도,윌마,17010,"정신과 의사가 불교 가르침을 실제 삶에 적용한 체험기. 마음챙김x현대 심리학의 실용적 접목"
자기계발,3,무례한 세상에서 나를 지키는 법,발타사르 그라시안,논픽션,17820,"니체가 스승으로 삼은 17세기 철학자의 처세술. 인간관계에서 자신을 지키는 300가지 통찰"
자기계발,4,캔들차트 하나로 끝내는 추세추종 투자,성승현,포르체,22500,"캔들차트 분석 하나로 추세 매매하는 실전 기법"
자기계발,5,생각의 도약,도야마 시게히코,페이지2,16200,"일본 사고력 전문가의 생각 확장법. 기존 틀을 깨고 새로운 아이디어를 만드는 사고 기술"
자기계발,6,집중력 죽이기,마크 티흐헬라르 외,서삼독,17100,"산만한 디지털 시대에 집중력을 되찾는 과학적 방법. 멀티태스킹의 함정과 딥워크 전략"
자기계발,7,뇌는 어떻게 나를 조종하는가,크리스 나이바우어,클랩북스,16920,"좌뇌의 해석자가 만드는 자아의 환상. 뇌과학으로 이해하는 나의 작동원리"
자기계발,8,쓰는 만큼 내가 된다,리니,더퀘스트,16200,"글쓰기를 통한 자기 발견 에세이. 매일 쓰는 습관이 나를 만드는 과정"
자기계발,9,더 시스템,스콧 애덤스,베리북,16200,"딜버트 만화 창시자의 성공론. 목표가 아닌 시스템을 세워라. 매일 꼬박꼬박 하는 것이 시스템"
자기계발,10,일하면서 바로 써먹는 아웃풋x성과 도감,가바사와 시온,현대지성,15750,"인풋보다 아웃풋이 중요한 이유. 말하기/쓰기/행동 등 80가지 아웃풋 기술 도감"
자기계발,11,딱 1년만 미쳐라,리치파카,모티브,17820,"1년간 미친 듯이 몰입하면 인생이 바뀐다. 동기부여+실천 전략"
자기계발,12,너를 기다릴 시간에 나를 사랑하기로 했다,질리언 투레키,부키,17550,"타인에게 쏟던 에너지를 자신에게 돌리는 자기 사랑 에세이. 관계에서의 자존감 회복"
자기계발,13,렛뎀 이론,멜 로빈스,비즈니스북스,18000,"타인은 통제 대상이 아니다. 남을 바꾸려는 시도를 멈추고 내가 할 수 있는 것에 집중하는 법"
자기계발,14,마음을 읽는 감각,구범준,세상을바꾸는시간15분,17820,"사람의 마음을 읽고 소통하는 감각을 키우는 법. 관계와 비즈니스에서의 공감 능력 향상"
자기계발,15,이게 되네? 제미나이 완전 미친 활용법 81제,오힘찬,골든래빗,21600,"구글 제미나이 AI 실무 활용 81가지. 업무 자동화~콘텐츠 제작"
자기계발,16,미라클 모닝 After 50,할 엘로드 외,필름,19800,"50대 이후를 위한 미라클 모닝. 아침 루틴으로 인생 후반전 설계"
자기계발,17,폰더 씨의 위대한 하루,앤디 앤드루스,세종,16200,"우연히 만난 현자들의 7가지 인생 결정. 짧지만 강렬한 자기계발 우화"
자기계발,18,아주 작은 습관의 힘 (50만부 기념),제임스 클리어,비즈니스북스,16200,"매일 1%씩 나아지는 복리 습관의 과학. 습관 4단계(신호-열망-반응-보상). 전 세계 1500만부"
자기계발,19,심리학이 분노에 답하다,충페이충,미디어숲,16020,"분노를 이해하고 다스리는 심리학적 방법. 감정 조절 실용 심리서"
자기계발,20,내가 돈을 벌고 있다는 착각,commonD,스틸당,17820,"월급쟁이의 재무 맹점. 진짜 돈을 버는 것과 착각의 차이"
자기계발,21,어른의 그릇,조윤제,청림출판,17100,"인간관계에서 필요한 그릇의 크기를 키우는 법. 고전에서 배우는 어른다움"
자기계발,22,인생을 위한 최소한의 생각,"신영준, 고영성",상상스퀘어,17820,"거인들의 통찰로 삶의 중심을 세우는 사유법"
자기계발,23,거인의 노트,김익한,다산북스,,"기록을 성장의 핵심 기술로 제시. 공부/일/삶을 연결하는 노트 시스템. 10만부 돌파"
자기계발,24,해빗,웬디 우드,,,"30년 습관 연구 결정판. 인간 행동의 43%는 무의식적 습관. 의지력 대신 환경 설계로 목표 달성"
자기계발,25,왜 일하는가,이나모리 가즈오,다산북스,16200,"일은 인격을 단련하는 수행. 교세라 창업자의 일 철학. 삼성 신입사원 10년 이상 필독서"
자기계발,26,행동하지 않으면 인생은 바뀌지 않는다,브라이언 트레이시,,,"자기계발 거장의 실행력 강조. 생각만으로는 변하지 않는다"
자기계발,27,데일 카네기 100일 필사,데일 카네기,,,"하루 한 장씩 카네기 명언 필사. 100일 습관 트래커 포함"
자기계발,28,다크 심리학,,,,"인간 본성의 어두운 면을 탐구하는 심리 기술서. 50만 팔로워가 기다린 화제작"
자기계발,29,그릿,앤절라 더크워스,,,"재능보다 끈기가 성공을 결정한다는 과학적 증명. IQ보다 중요한 열정x인내 공식"
자기계발,30,역행자,자청,,,"완벽한 원시인 전작. 가난한 청년이 경제적 자유를 이룬 7단계 공식. 100만부 돌파"
에세이,1,엄마와 딸들의 미친년의 역사,이랑,이야기장수,16020,"언니의 죽음에서 출발한 가족사. 가난/폭력/남아선호 속 한국 여성의 집단적 기억. 일본/대만 역수입"
에세이,2,사랑이 있으니 살아집디다,"유시민, 김세라",은빛,16200,"유시민과 딸의 세대를 넘는 대화. 삶/사랑/죽음에 대한 부녀의 솔직한 에세이"
에세이,3,내 가게에 부모님을 고용했습니다,최윤선,파이퍼프레스,17100,"부모님을 직원으로 고용하며 벌어지는 가족 경영 실화. 세대 갈등과 화해를 유머러스하게"
에세이,4,정답은 있다,이정효,다산북스,16200,"수원 삼성 감독의 첫 에세이. 직설적 전술가의 리더십과 인생 철학"
에세이,5,매일 아침 나는 텃밭에 간다,강철원,한즈미디어,16650,"도시인의 텃밭 가꾸기 에세이. 흙을 만지며 일상의 치유를 경험하는 과정"
에세이,6,일본 광고 카피 도감,오하림,서교책방,16920,"일본 명작 광고 카피 모음. 마케터/기획자에게 영감을 주는 크리에이티브 레퍼런스"
에세이,7,"사랑을 담아, 제인 오스틴",제인 오스틴,이일상,18900,"제인 오스틴의 편지 모음. 200년 전 작가의 일상과 사랑관을 엿보는 서간 에세이"
에세이,8,느슨한 균형,쑥,위즈덤하우스,17100,"완벽하지 않아도 괜찮다. 일상의 위안과 적당한 균형을 찾아가는 에세이"
에세이,9,"소유하기, 소유되기",율라 비스,열린책들,19800,"소유와 자본주의에 대한 성찰. 우리가 물건을 소유하는가 물건이 우리를 소유하는가"
에세이,10,루이즈 미셸 회고록,루이즈 미셸,불란서책방,19800,"파리 코뮌 영웅의 자전적 기록. 혁명과 저항의 생생한 1인칭 서사"
에세이,11,쓰는 만큼 내가 된다,리니,더퀘스트,16200,"매일 쓰는 습관이 나를 만드는 과정. 글쓰기를 통한 자기 발견"
에세이,12,불안 (개정판),알랭 드 보통,은행나무,16200,"사회적 지위에 대한 불안의 기원을 철학적으로 탐구. 불안한 시대의 고전적 위로"
에세이,13,어른의 행복은 조용하다,태수,페이지2,16020,"화려하지 않지만 단단한 행복. 성숙한 어른의 일상적 행복을 그린 에세이"
에세이,14,해인의 바다,이해인,가톨릭출판사,23400,"수녀이자 시인 이해인의 산문. 신앙과 자연/일상의 아름다움을 담은 명상적 글"
에세이,15,너를 아끼며 살아라,나태주,더블북,16650,"풀꽃 시인 나태주의 산문. 소소한 일상에서 발견하는 사랑과 위로의 메시지"
에세이,16,56년 샘터 잊지 못할 명문장,월간 샘터,샘터사,18000,"56년간 샘터에 실린 명문장 모음. 시대를 초월한 삶의 지혜 큐레이션"
에세이,17,소년과 두더지와 여우와 말,찰리 맥커시,상상의힘,19800,"네 친구의 대화로 풀어낸 인생의 진실. 그림+글 힐링 에세이. 전 세계 1000만부"
에세이,18,오래된 세계의 농담,이다혜,오리지널스,16200,"영화 평론가의 문화 에세이. 영화/문학/일상을 넘나드는 사유와 유머"
에세이,19,구원에게,정영욱,부크럼,16200,"사랑과 이별/일상의 감정을 담은 감성 에세이. 잔잔한 위로의 문장들"
에세이,20,행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,16200,"누적 10만부. 행복을 성취가 아닌 과정으로 정의. 일상에서 발견하는 작은 행복의 가치"
에세이,21,악수도 없이 헤어졌다,피천득,민음사,13500,"한국 수필 문학 거장 피천득의 산문 모음. 담백하고 아름다운 문장의 정수"
에세이,22,완벽보다 완결,문예진,서사원,19800,"완벽주의를 내려놓고 완결에 집중하는 삶의 태도. 시작한 것을 끝내는 힘"
에세이,23,기분이 태도가 되지 않게,레몬심리,매일경제신문사,,"감정에 휘둘리지 않는 단단한 내면 만들기. 감정과 태도를 분리하는 심리 에세이"
에세이,24,"필사, 어른이 되는 시간",나태주,북로그컴퍼니,16650,"나태주 시인의 시를 필사하며 어른이 되는 시간"
에세이,25,꽃을 보듯 너를 본다,나태주,,,"자세히 보아야 예쁘다 오래 보아야 사랑스럽다. 10대~40대 모두 사로잡은 국민 시집"
에세이,26,김애란 산문집 (출간 예정),김애란,문학동네,,"ChatGPT/돌봄 등 현대 이슈를 섬세하게 다루는 7년만의 산문집"
에세이,27,나는 나로 살기로 했다,김수현,,,"타인의 시선에서 벗어나 자기답게 사는 법. 자존감 회복 에세이 스테디셀러"
에세이,28,죽고 싶지만 떡볶이는 먹고 싶어,백세희,,,"기분부전증 환자의 정신과 상담 기록. 가볍지만 깊은 마음 건강 에세이"
인문학,1,인생을 위한 최소한의 생각,"신영준, 고영성",상상스퀘어,17820,"거인들의 통찰로 삶의 중심을 세우는 사유법. 생각의 멸종 시대에 의미를 찾는 방법"
인문학,2,완벽한 원시인,자청,필로틱,19800,"10만년 전 DNA에 맞춘 뇌 리셋 설계도. 인문학+뇌과학 융합 자기계발"
인문학,3,살면서 한번은 벽돌책,장강명,글항아리,17550,"700쪽 넘는 고전 100권 감상록. 두꺼운 책이 주는 중단 없는 연속적 사유의 힘"
인문학,4,최소한의 삼국지,최태성,프런트페이지,17550,"큰별쌤 최태성이 들려주는 삼국지 핵심. 방대한 서사를 쉽고 재미있게 압축"
인문학,5,"소유하기, 소유되기",율라 비스,열린책들,19800,"소유와 자본주의 탐구. 물건이 우리를 소유하는 역설적 구조 분석"
인문학,6,위버멘쉬,니체,RISE(떠오름),16020,"니체의 초인 사상. 낙타-사자-어린이 3단계로 자기 극복과 가치 창조의 여정"
인문학,7,우리가 사랑한 도시,"김지윤, 전은환",북다,15750,"도시의 기억과 감성을 담은 인문 에세이. 장소가 품은 이야기들의 기록"
인문학,8,뇌는 어떻게 나를 조종하는가,크리스 나이바우어,클랩북스,16920,"좌뇌의 해석자가 만드는 자아의 환상. 뇌과학으로 이해하는 나의 작동 원리"
인문학,9,인류학자처럼 생각하는 법,매슈 엥글키,오월의봄,23400,"인류학적 사고로 세상을 새롭게 보는 방법. 낯선 시각의 힘을 배우는 교양서"
인문학,10,이향인,라미 카민스키,21세기북스,15210,"이방인의 시선으로 본 세계. 디아스포라와 정체성에 대한 성찰"
인문학,11,너를 기다릴 시간에 나를 사랑하기로 했다,질리언 투레키,부키,17550,"타인에게 쏟던 에너지를 자신에게 돌리는 자기 사랑 철학"
인문학,12,국가,플라톤,아카넷,36100,"서양 철학의 기원. 정의란 무엇이며 이상적 국가는 어때야 하는가. 인문학 필독 고전"
인문학,13,쾌적한 사회의 불쾌함,구마시로 도루,생각지도,18900,"편리해진 사회가 만든 새로운 불쾌함의 구조를 분석하는 사회철학서"
인문학,14,니체의 초월자,니체,히읏,15210,"니체 원전의 핵심을 추린 입문서. 자기 극복과 초월의 철학"
인문학,15,빅터 프랭클의 죽음의 수용소에서,빅터 프랭클,청아출판사,10800,"나치 수용소 생존자의 실존적 증언. 삶의 의미를 찾는 자는 어떤 고통도 견딘다. 1200만부"
인문학,16,삶을 의미 있게 만들어주는 일상의 철학,오이겐 M. 슐라크,빚은책들,4500,"일상 속에서 발견하는 철학적 의미. 거창하지 않은 삶의 철학 입문"
인문학,17,사피엔스,유발 하라리,김영사,24120,"호모 사피엔스 25만년 3대 혁명(인지/농업/과학). 전 세계 2500만부 인류사 교양서"
인문학,18,오래된 세계의 농담,이다혜,오리지널스,16200,"영화 평론가의 문화 에세이. 영화/문학/일상을 넘나드는 유머와 사유"
인문학,19,"총, 균, 쇠",재레드 다이아몬드,김영사,26820,"지리와 환경이 문명을 결정한다는 혁신적 인류사. 퓰리처상 수상"
인문학,20,사랑의 기술,에리히 프롬,문예출판사,15300,"사랑은 기술이다. 보호/책임/존경/지식이 진정한 사랑의 4요소. 34개 언어 번역"
인문학,21,쇼펜하우어 인생수업,쇼펜하우어,하이스트,15750,"염세주의 철학자의 의외로 실용적 인생 조언. 고통을 줄이고 평온을 찾는 지혜"
인문학,22,초역 부처의 말,코이케 류노스케,,,"부처의 가르침을 현대어로 초역. 일상에서 바로 적용할 수 있는 마음 다스리기"
인문학,23,지적 대화를 위한 넓고 얕은 지식,채사장,,,"역사/경제/정치/사회/윤리를 넓고 얕게 훑는 교양서. 10년 연속 베스트셀러"
