line,line_name,unit,id,label,group,variant,rev,brand,diff,tier,sustain,scen,core,note
RL-09,숙박 · 체류,박단가 × 객실수 × 가동률 × 365,E-0652,독점 프라이빗 스테이,G6 · 체류·리트리트,프리미엄,H,M,H,Tier2,L,B,C,조리 필요 — 건물 용도가 문화집회시설이라 음식 조리가 원천 불가(E-0041). 용도변경 또는 유권해석이 전제다.
RL-09,숙박 · 체류,박단가 × 객실수 × 가동률 × 365,E-0653,리트리트 연간 멤버십,G6 · 체류·리트리트,멤버십,H,M,M,Tier2,H,B,B,
RL-09,숙박 · 체류,박단가 × 객실수 × 가동률 × 365,E-0654,사찰 워케이션,G6 · 체류·리트리트,기본,M,M,M,Tier2,M,B,C,
RL-09,숙박 · 체류,박단가 × 객실수 × 가동률 × 365,E-0655,새벽 예불 결합 숙박,G6 · 체류·리트리트,기본,M,H,M,Tier2,H,AB,C,조리 필요 — 건물 용도가 문화집회시설이라 음식 조리가 원천 불가(E-0041). 용도변경 또는 유권해석이 전제다.
RL-10,멤버십 · 구독,연회비 × 회원수 × 갱신율,E-0602,티 클럽 멤버십,G1 · 다원·다이닝(F&B),멤버십,M,M,M,Tier1,H,B,B,
RL-10,멤버십 · 구독,연회비 × 회원수 × 갱신율,E-0606,다이닝 멤버십,G1 · 다원·다이닝(F&B),멤버십,M,M,M,Tier1,H,B,B,
RL-10,멤버십 · 구독,연회비 × 회원수 × 갱신율,E-0618,전시 프리뷰 멤버십,G2 · 전시·뮤지엄,멤버십,L,M,L,Tier1,M,BA,B,
RL-10,멤버십 · 구독,연회비 × 회원수 × 갱신율,E-0634,웰니스 월정액 멤버십,G4 · 명상·웰니스,멤버십,H,M,M,Tier2,H,B,B,
RL-10,멤버십 · 구독,연회비 × 회원수 × 갱신율,E-0677,프리미엄 통합 멤버십,G9 · 멤버십·디지털·라이프엔딩,멤버십,H,H,H,Tier2,H,B,B,
RL-10,멤버십 · 구독,연회비 × 회원수 × 갱신율,E-0678,신도·후원 회원 등급제,G9 · 멤버십·디지털·라이프엔딩,멤버십,M,H,M,Tier1,H,ABC,B,
RL-10,멤버십 · 구독,연회비 × 회원수 × 갱신율,E-0679,글로벌 디지털 후원제,G9 · 멤버십·디지털·라이프엔딩,멤버십,M,H,M,Tier2,M,CB,C,
RL-10,멤버십 · 구독,연회비 × 회원수 × 갱신율,E-0683,온라인 명상·법문 구독,G9 · 멤버십·디지털·라이프엔딩,멤버십,M,M,M,Tier2,H,CB,C,
RL-10,멤버십 · 구독,연회비 × 회원수 × 갱신율,E-0629,상품 정기구독 박스,G3 · 리테일·상품,멤버십,M,M,H,Tier2,M,CB,B,
RL-11,장묘 · 라이프엔딩,분양가 × 기수 + 연간관리비,E-0685,봉안당 분양,G9 · 멤버십·디지털·라이프엔딩,매스,H,M,H,Tier2,H,BA,A,
RL-11,장묘 · 라이프엔딩,분양가 × 기수 + 연간관리비,E-0686,프리미엄 개별 봉안,G9 · 멤버십·디지털·라이프엔딩,프리미엄,H,M,H,Tier2,M,B,C,
RL-11,장묘 · 라이프엔딩,분양가 × 기수 + 연간관리비,E-0687,수목장·자연장,G9 · 멤버십·디지털·라이프엔딩,매스,M,H,H,Tier2,H,BA,A,
RL-11,장묘 · 라이프엔딩,분양가 × 기수 + 연간관리비,E-0688,영대공양 추모 서비스,G9 · 멤버십·디지털·라이프엔딩,멤버십,M,H,M,Tier2,H,BAC,C,
RL-11,장묘 · 라이프엔딩,분양가 × 기수 + 연간관리비,E-0689,라이프엔딩 컨시어지,G9 · 멤버십·디지털·라이프엔딩,프리미엄,H,M,H,Tier2,M,B,C,
RL-12,온라인 판매,객단가 × 주문수,E-0680,온라인 브랜드몰,G9 · 멤버십·디지털·라이프엔딩,공급,M,M,M,Tier2,H,CA,A,
RL-13,시즌 · 야간 이벤트,입장/부스료 × 회차 × 기간,E-0670,시즌 연등 야간 개방,G8 · 커뮤니티·시민개방,매스,M,H,M,Tier1,H,A,C,
RL-13,시즌 · 야간 이벤트,입장/부스료 × 회차 × 기간,E-0671,나이트마켓·야간 프로그램,G8 · 커뮤니티·시민개방,매스,M,M,H,Tier2,M,A,B,차·한과 준비 수준의 조리도 문화집회시설 용도 제약(E-0041)에 걸린다 — 조리 없는 완제품 반입 설계 또는 용도 확인이 전제다.
RL-14,[C] 도매 · 공급,도매단가 × 수량 × 거래 사찰수,E-0691,굿즈 위탁제조 · 파브리스,G10 · 상품화·공급·확산 (C안),공급,M,M,M,Tier1,H,CA,B,
RL-14,[C] 도매 · 공급,도매단가 × 수량 × 거래 사찰수,E-0694,도매 공급 · 표준 카탈로그,G10 · 상품화·공급·확산 (C안),매스,M,M,H,Tier2,M,C,B,
RL-14,[C] 도매 · 공급,도매단가 × 수량 × 거래 사찰수,E-0695,도매 공급 · 사찰 맞춤형,G10 · 상품화·공급·확산 (C안),프리미엄,M,H,H,Tier2,M,C,B,
RL-14,[C] 도매 · 공급,도매단가 × 수량 × 거래 사찰수,E-0696,도매 공급 · 연간 계약형,G10 · 상품화·공급·확산 (C안),멤버십,H,M,H,Tier2,H,C,A,
RL-14,[C] 도매 · 공급,도매단가 × 수량 × 거래 사찰수,E-0837,전국 사찰 공동 유통망,G10 · 상품화·공급·확산 (C안),공급,M,M,H,Tier2,M,C,B,
RL-14,[C] 도매 · 공급,도매단가 × 수량 × 거래 사찰수,E-0839,해외 전시연계 상품공급,G10 · 상품화·공급·확산 (C안),공급,M,H,H,Tier2,M,C,B,
RL-14,[C] 도매 · 공급,도매단가 × 수량 × 거래 사찰수,E-0609,사찰음식 케이터링,G1 · 다원·다이닝(F&B),공급,M,M,H,Tier2,M,CB,B,조리 필요 — 건물 용도가 문화집회시설이라 음식 조리가 원천 불가(E-0041). 용도변경 또는 유권해석이 전제다.
RL-15,[C] IP · 라이선스,로열티율 × 파트너 매출,E-0697,캐릭터·디지털 IP 사업,G10 · 상품화·공급·확산 (C안),공급,M,H,M,Tier2,M,C,B,
RL-15,[C] IP · 라이선스,로열티율 × 파트너 매출,E-0698,리테일 모델 라이선싱,G10 · 상품화·공급·확산 (C안),공급,M,H,H,Tier2,H,C,B,
RL-15,[C] IP · 라이선스,로열티율 × 파트너 매출,E-0705,공동 브랜드 사용권,G10 · 상품화·공급·확산 (C안),공급,M,H,H,Tier2,H,C,A,
RL-15,[C] IP · 라이선스,로열티율 × 파트너 매출,E-0838,기업 콜라보 라이선싱,G10 · 상품화·공급·확산 (C안),B2B,H,H,M,Tier2,M,C,B,
RL-15,[C] IP · 라이선스,로열티율 × 파트너 매출,E-0891,불교 콘텐츠 IP 라이선싱,G10 · 상품화·공급·확산 (C안),공급,H,M,H,Tier2,M,C,C,
RL-16,[C] 용역 · 턴키 · 교육,건당 수주액 × 건수,E-0692,사찰 특화상품 개발대행,G10 · 상품화·공급·확산 (C안),공급,M,M,H,Tier2,M,C,B,
RL-16,[C] 용역 · 턴키 · 교육,건당 수주액 × 건수,E-0699,전시 패키지 공급 · 턴키,G10 · 상품화·공급·확산 (C안),공급,H,H,H,Tier2,M,C,A,
RL-16,[C] 용역 · 턴키 · 교육,건당 수주액 × 건수,E-0700,전시 패키지 · 시즌 순회,G10 · 상품화·공급·확산 (C안),공급,M,H,H,Tier2,M,CA,B,
RL-16,[C] 용역 · 턴키 · 교육,건당 수주액 × 건수,E-0701,운영 매뉴얼 패키지 판매,G10 · 상품화·공급·확산 (C안),공급,L,M,M,Tier2,M,C,A,
RL-16,[C] 용역 · 턴키 · 교육,건당 수주액 × 건수,E-0887,사찰 미디어아트 상설,G10 · 상품화·공급·확산 (C안),공급,H,H,H,Tier1,M,CA,B,
RL-16,[C] 용역 · 턴키 · 교육,건당 수주액 × 건수,E-0888,사찰운영자 아카데미,G10 · 상품화·공급·확산 (C안),공급,M,H,M,Tier2,H,C,A,
RL-17,[C] 자체 상품개발 · 직영,제조원가 → 직영 판매 (RL-04로 귀속),E-0690,굿즈 자체제조 · 직영,G10 · 상품화·공급·확산 (C안),기본,M,H,H,Tier1,M,C,B,
RL-17,[C] 자체 상품개발 · 직영,제조원가 → 직영 판매 (RL-04로 귀속),E-0693,전시 연계 굿즈 개발,G10 · 상품화·공급·확산 (C안),기본,M,H,M,Tier1,H,CA,A,
RL-17,[C] 자체 상품개발 · 직영,제조원가 → 직영 판매 (RL-04로 귀속),E-0835,봉은 오리지널 상품라인,G10 · 상품화·공급·확산 (C안),기본,M,H,M,Tier1,H,CA,B,
NR-1,무료 개방 · 공익 (트래픽 엔진 / 비용),-,E-0668,무료 개방 라이브러리,G8 · 커뮤니티·시민개방,공익,L,H,L,Tier1,H,A,A,
NR-1,무료 개방 · 공익 (트래픽 엔진 / 비용),-,E-0669,월례 무료 콘서트,G8 · 커뮤니티·시민개방,공익,L,H,M,Tier1,H,A,C,
NR-1,무료 개방 · 공익 (트래픽 엔진 / 비용),-,E-0672,지역 상인·공정무역 입점,G8 · 커뮤니티·시민개방,공익,L,H,M,Tier2,M,A,B,
NR-1,무료 개방 · 공익 (트래픽 엔진 / 비용),-,E-0673,상생 기금 적립 판매,G8 · 커뮤니티·시민개방,공익,L,H,L,Tier1,H,AC,B,
NR-1,무료 개방 · 공익 (트래픽 엔진 / 비용),-,E-0674,자원봉사 가이드 투어,G8 · 커뮤니티·시민개방,공익,L,H,M,Tier1,H,A,A,
NR-1,무료 개방 · 공익 (트래픽 엔진 / 비용),-,E-0675,사찰 주관 커뮤니티 매칭,G8 · 커뮤니티·시민개방,기본,L,M,M,Tier2,M,BA,C,
NR-1,무료 개방 · 공익 (트래픽 엔진 / 비용),-,E-0676,종교 간 대화·시민 강좌,G8 · 커뮤니티·시민개방,공익,L,H,M,Tier2,H,A,C,
NR-2,기반 인프라 (매출 0 · 타 라인 성립조건),-,E-0620,비파괴 삽입 전시구조,G2 · 전시·뮤지엄,인프라,L,M,L,Tier1,H,ABC,C,
NR-2,기반 인프라 (매출 0 · 타 라인 성립조건),-,E-0681,다국어 AI 경내 가이드,G9 · 멤버십·디지털·라이프엔딩,인프라,L,H,M,Tier2,M,AC,C,
NR-2,기반 인프라 (매출 0 · 타 라인 성립조건),-,E-0682,디지털 예약·CRM,G9 · 멤버십·디지털·라이프엔딩,인프라,L,M,M,Tier1,H,ABC,B,
NR-2,기반 인프라 (매출 0 · 타 라인 성립조건),-,E-0684,SNS 콘텐츠 운영,G9 · 멤버십·디지털·라이프엔딩,인프라,L,H,L,Tier1,H,A,B,
NR-2,기반 인프라 (매출 0 · 타 라인 성립조건),-,E-0702,강남 테스트베드 검증,G10 · 상품화·공급·확산 (C안),인프라,M,H,M,Tier1,H,C,A,
NR-2,기반 인프라 (매출 0 · 타 라인 성립조건),-,E-0704,성물 상품화 등급 심의,G10 · 상품화·공급·확산 (C안),인프라,L,H,M,Tier1,H,C,B,
NR-2,기반 인프라 (매출 0 · 타 라인 성립조건),-,E-0836,사찰 상품 공모·인큐베이팅,G10 · 상품화·공급·확산 (C안),인프라,L,H,H,Tier2,M,C,B,
NR-2,기반 인프라 (매출 0 · 타 라인 성립조건),-,E-0889,프로그램 인증·평가,G10 · 상품화·공급·확산 (C안),인프라,M,H,H,Tier2,H,C,A,
NR-2,기반 인프라 (매출 0 · 타 라인 성립조건),-,E-0890,통합 예약·유통 채널,G10 · 상품화·공급·확산 (C안),인프라,M,M,H,Tier2,H,C,A,
NR-2,기반 인프라 (매출 0 · 타 라인 성립조건),-,E-0703,종단 채널 연계 상품화,G10 · 상품화·공급·확산 (C안),공급,M,H,M,Tier1,H,C,B,
